movie_id,title,overview,release_date,runtime,budget,revenue,vote_average,vote_count,adult,original_language,tagline,release_year
1572,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",1995-05-19,128,90000000,366101666,6.9,2094,0,en,Think fast. Look alive. Die hard.,1995
6520,First Knight,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",1995-07-07,134,55000000,127600435,5.9,319,0,en,Their greatest battle would be for her love.,1995
10428,Hackers,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",1995-09-14,107,20000000,7563728,6.2,406,0,en,"There is no right or wrong, only fun and boring",1995
9886,Johnny Mnemonic,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.  In a dystopian 2021, Johnny (Keanu Reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995-05-26,97,25000000,19075720,5.5,380,0,en,The hottest data on earth. In the coolest head in town.,1995
9482,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",1995-06-30,96,90000000,113493481,5.4,643,0,en,"In the future, one man is the law.",1995
9071,Living in Oblivion,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,1995-01-20,89,500000,1148752,7.2,64,0,en,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!,1995
2293,Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",1995-10-20,94,6000000,2122561,6.8,400,0,en,They're not there to shop. They're not there to work. They're just there.,1995
9070,Mighty Morphin Power Rangers: The Movie,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",1995-06-30,92,15000000,66000000,5.2,153,0,en,The Power Is On!,1995
48787,Mute Witness,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film.",1995-09-28,95,2,1,6.4,36,0,en,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.,1995
1642,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",1995-07-28,114,22000000,110627965,5.6,359,0,en,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen.",1995
36196,Party Girl,"Although Mary has little income, she still finds ways to spend her nights at clubs. After being arrested for throwing an illegal rave, she asks her aunt Judy for bail money. Judy then finds Mary a job at her library so that Mary can repay her. Initially, Mary finds the job as a clerk boring and stifling, and prefers to get to know a street food vendor whom she likes. However, Mary must refocus her life once she loses her job and apartment.",1995-06-09,94,150000,472370,5.8,14,0,en,"Sassy, savvy and definitely clued-in!",1995
11980,The Prophecy,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",1995-09-01,98,8,16,6.4,139,0,en,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",1995
10533,The Scarlet Letter,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.",1995-10-13,135,50000000,10382407,5.5,111,0,en,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",1995
10802,Showgirls,A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.,1995-09-22,128,45000000,20350754,4.9,261,0,en,Beyond your wildest dreams. Beyond your wildest fantasies.,1995
10149,Smoke,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",1995-06-09,112,7000000,8349430,7.2,115,0,en,Where there's smoke... there's laughter!,1995
9348,Species,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",1995-07-07,108,35000000,113374103,5.5,457,0,en,Our time is up.,1995
281,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",1995-10-13,145,42000000,7959291,6.8,334,0,en,You know you want it.,1995
3512,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",1995-07-13,100,60000000,104324083,5.6,217,0,en,Last time he rocked the boat. This time the sky's the limit.,1995
9560,A Walk in the Clouds,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,1995-08-11,103,20000000,50012507,6.5,168,0,en,A man in search. A woman in need. A story of fate.,1995
9804,Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' â€“ which is tattooed on Enola's back.",1995-07-28,135,175000000,264218220,5.9,1017,0,en,Beyond the horizon lies the secret to a new beginning.,1995
50797,Burnt by the Sun,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...",1994-05-01,135,2800000,2616503,6.7,35,0,ru,A moving and poignant story set against the corrupt politics of the Stalinist era.,1994
76,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",1995-01-27,105,2500000,5535405,7.7,984,0,en,Can the greatest romance of your life last only one night?,1995
11017,Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",1995-02-10,89,10000000,26488734,6.2,464,0,en,Billy is going back to school... Way back.,1995
